Class,Vertical,Category,Name,Alias,Datatype,Description,isEnable,ExecLevel,isExposed
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_total_transaction_count,Prepaid Transaction Count,Long,Count of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_total_transaction_size,Prepaid Transaction Size,Double,Amount of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_first_transaction_size,Prepaid First Transaction Size,Double,Amount of first transaction made by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_first_transaction_date,Prepaid First Transaction Date,Date,Date at which first transaction was made by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_first_transaction_operator,Prepaid First Transaction Operator,String,Operator of which first transaction was made by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_last_transaction_size,Prepaid Last Transaction Size,Double,Amount of last transaction made by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_last_transaction_date,Prepaid Last Transaction Date,Date,Date at which last transaction was made by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_last_transaction_operator,Prepaid Last Transaction Operator,String,Operator of which last transaction was made by customer,0,L3RU,0
Behavioural,Recharge and Utilities,Mobile,RU_MB_prepaid_preferable_transaction_operator,Prepaid Preferable Transaction Operator,String,Operator having most transactions by the customer,1,L3RU,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_prepaid_preferable_transaction_day,Prepaid Preferable Transaction Day,String,Day of week in which most transactions are made by the customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_total_discount_transaction_count,Prepaid Total Discount Transaction Count,Long,Count of all discount transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_total_discount_transaction_size,Prepaid Total Discount Transaction Size,Double,Amount of all discount transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_total_cashback_transaction_count,Prepaid Total Cashback Transaction Count,Long,Count of all cashback transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_total_cashback_transaction_size,Prepaid Total Cashback Transaction Size,Double,Amount of all cashback transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_percentage_discount_by_transaction_count,Percentage Discount By Transaction Count,Long,Percent of discount transactions count out of total transactions count,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_percentage_discount_by_transaction_size,Percentage Discount By Transaction Size,Double,Percent of discount transactions amount out of total transactions amount,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_percentage_cashback_by_transaction_count,Percentage Cashback By Transaction Count,Long,Percent of cashback transactions count out of total transactions count,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_percentage_cashback_by_transaction_size,Percentage Cashback By Transaction Size,Double,Percent of cashback transactions amount out of total transactions amount,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_prepaid_avg_transaction_size,Avg Transaction Size,Double,Average amount of all transactions done by customers,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_total_transaction_count,Postpaid Transaction Count,Long,Count of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_total_transaction_size,Postpaid Transaction Size,Double,Amount of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_first_transaction_size,Postpaid First Transaction Size,Double,Amount of first transaction made by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_first_transaction_date,Postpaid First Transaction Date,Date,Date at which first transaction was made by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_first_transaction_operator,Postpaid First Transaction Operator,String,Operator of which first transaction was made by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_last_transaction_size,Postpaid Last Transaction Size,Double,Amount of last transaction made by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_last_transaction_date,Postpaid Last Transaction Date,Date,Date at which last transaction was made by customer,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_last_transaction_operator,Postpaid Last Transaction Operator,String,Operator of which last transaction was made by customer,0,L3RU,0
Behavioural,Recharge and Utilities,Mobile,RU_MB_postpaid_preferable_transaction_operator,Postpaid Preferable Transaction Operator,String,Operator having most transactions by the customer,1,L3RU,1
Behavioural,Recharge and Utilities,Mobile,RU_MB_postpaid_preferable_transaction_day,Postpaid Preferable Transaction Day,String,Day of week in which most transactions are made by the customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_total_discount_transaction_count,Postpaid Total Discount Transaction Count,Long,Count of all discount transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_total_discount_transaction_size,Postpaid Total Discount Transaction Size,Double,Amount of all discount transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_total_cashback_transaction_count,Postpaid Total Cashback Transaction Count,Long,Count of all cashback transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_total_cashback_transaction_size,Postpaid Total Cashback Transaction Size,Double,Amount of all cashback transactions done by customer,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_percentage_discount_by_transaction_count,Percentage Discount By Transaction Count,Long,Percent of discount transactions count out of total transactions count,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_percentage_discount_by_transaction_size,Percentage Discount By Transaction Size,Double,Percent of discount transactions amount out of total transactions amount,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_percentage_cashback_by_transaction_count,Percentage Cashback By Transaction Count,Long,Percent of cashback transactions count out of total transactions count,0,L3RU,0
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_percentage_cashback_by_transaction_size,Percentage Cashback By Transaction Size,Double,Percent of cashback transactions amount out of total transactions amount,1,L3RU,1
Transactional,Recharge and Utilities,Mobile,RU_MB_postpaid_avg_transaction_size,Avg Transaction Size,Double,Average amount of all transactions done by customers,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_total_transaction_count,Total Transaction Count,Long,Count of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_total_transaction_size,Total Transaction Size,Double,Amount of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_avg_transaction_size,Avg Transaction Size,Double,Average amount of all transactions done by customer,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_first_transaction_size,First Transaction Size,Double,Amount of first transaction made by customer,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_first_transaction_date,First Transaction Date,Date,Date at which first transaction was made by customer,0,L3RU,0
Transactional,Recharge and Utilities,DTH,RU_DTH_first_transaction_operator,First Transaction Operator,String,Operator of which first transaction was made by customer,0,L3RU,0
Transactional,Recharge and Utilities,DTH,RU_DTH_last_transaction_size,Last Transaction Size,Double,Amount of last transaction made by customer,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_last_transaction_date,Last Transaction Date,Date,Date at which last transaction was made by customer,1,L3RU,1
Transactional,Recharge and Utilities,DTH,RU_DTH_last_transaction_operator,Last Transaction Operator,String,Operator of which last transaction was made by customer,1,L3RU,1
